Rank,First Name,Last Name,Team,Salary
1,Kirk,Cousins,MIN,"$22,500,000 "
2,Demarcus,Lawrence,DAL,"$17,143,000 "
,Ezekiel,Ansah,DET,"$17,143,000 "
4,Russell,Wilson,SEA,"$15,500,000 "
5,Calais,Campbell,JAX,"$15,000,000 "
6,Justin,Houston,KAN,"$14,750,000 "
7,Cam,Newton,CAR,"$14,500,000 "
8,Ndamukong,Suh,LAR,"$14,000,000 "
9,Andy,Dalton,CIN,"$13,700,000 "
10,Malik,Jackson,JAX,"$13,500,000 "
11,Josh,Norman,WAS,"$13,300,000 "
12,Alex,Smith,WAS,"$13,000,000 "
,A.J.,Bouye,JAX,"$13,000,000 "
14,Olivier,Vernon,NYG,"$12,750,000 "
15,DeAndre,Hopkins,HOU,"$12,500,000 "
,Chandler,Jones,ARI,"$12,500,000 "
,Kawann,Short,CAR,"$12,500,000 "
18,Anthony,Barr,MIN,"$12,306,000 "
,Jadeveon,Clowney,HOU,"$12,306,000 "
20,Gerald,McCoy,TAM,"$12,250,000 "
21,Joe,Flacco,BAL,"$12,000,000 "
,Andrew,Luck,IND,"$12,000,000 "
,Russell,Okung,LAC,"$12,000,000 "
,Ben,Roethlisberger,PIT,"$12,000,000 "
25,Fletcher,Cox,PHI,"$11,500,000 "
26,Lamarcus,Joyner,LAR,"$11,287,000 "
27,Melvin,Ingram,LAC,"$11,250,000 "
,Jason,Pierre-Paul,TAM,"$11,250,000 "
29,Eric,Fisher,KAN,"$11,150,000 "
30,Aqib,Talib,LAR,"$11,000,000 "
,Patrick,Peterson,ARI,"$11,000,000 "
,DeSean,Jackson,TAM,"$11,000,000 "
,T.Y.,Hilton,IND,"$11,000,000 "
,Larry,Fitzgerald,ARI,"$11,000,000 "
,J.J.,Watt,HOU,"$11,000,000 "
36,Jamie,Collins,CLE,"$10,650,000 "
37,Jurrell,Casey,TEN,"$10,600,000 "
38,A.J.,Green,CIN,"$10,550,000 "
39,Clay,Matthews,GNB,"$10,400,000 "
,Xavier,Rhodes,MIN,"$10,400,000 "
41,Robert,Quinn,MIA,"$10,333,301 "
42,Drew,Brees,NOR,"$10,200,000 "
,Terron,Armstead,NOR,"$10,200,000 "
44,Bobby,Wagner,SEA,"$10,000,000 "
,Kevin,Zeitler,CLE,"$10,000,000 "
,Logan,Ryan,TEN,"$10,000,000 "
,Tyron,Smith,DAL,"$10,000,000 "
,Tyrod,Taylor,CLE,"$10,000,000 "
,Philip,Rivers,LAC,"$10,000,000 "
50,Marcell,Dareus,JAX,"$9,925,000 "
51,Trent,Williams,WAS,"$9,850,000 "
52,Kelechi,Osemele,OAK,"$9,700,000 "
53,Matthew,Stafford,DET,"$9,500,000 "
54,Ja'Wuan,James,MIA,"$9,341,000 "
55,Cordy,Glenn,CIN,"$9,250,000 "
56,Riley,Reiff,MIN,"$9,100,000 "
57,Ryan,Kerrigan,WAS,"$9,000,000 "
,Robert,Alford,ATL,"$9,000,000 "
,Joe,Haden,PIT,"$9,000,000 "
,Julio,Jones,ATL,"$9,000,000 "
,Brandon,Linder,JAX,"$9,000,000 "
62,Eric,Berry,KAN,"$8,900,000 "
63,Lavonte,David,TAM,"$8,750,000 "
64,C.J.,Mosley,BAL,"$8,718,000 "
,Deone,Bucannon,ARI,"$8,718,000 "
,Dee,Ford,KAN,"$8,718,000 "
67,Cameron,Jordan,NOR,"$8,650,000 "
68,Randall,Cobb,GNB,"$8,600,000 "
69,Darqueze,Dennard,CIN,"$8,526,000 "
,Jimmie,Ward,SFO,"$8,526,000 "
,Bradley,Roby,DEN,"$8,526,000 "
72,Alex,Mack,ATL,"$8,500,000 "
,Desmond,Trufant,ATL,"$8,500,000 "
,Stephon,Gilmore,NWE,"$8,500,000 "
,Demaryius,Thomas,2TM,"$8,500,000 "
,Earl,Thomas,SEA,"$8,500,000 "
77,Kelvin,Benjamin,2TM,"$8,459,000 "
78,Mike,Evans,TAM,"$8,258,000 "
79,Jordan,Reed,WAS,"$8,250,000 "
,Emmanuel,Sanders,DEN,"$8,250,000 "
,Doug,Baldwin,SEA,"$8,250,000 "
82,Joe,Staley,SFO,"$8,025,000 "
83,Case,Keenum,DEN,"$8,000,000 "
,Buster,Skrine,NYJ,"$8,000,000 "
,Kelvin,Beachum,NYJ,"$8,000,000 "
,T.J.,Lang,DET,"$8,000,000 "
,Derek,Wolfe,DEN,"$8,000,000 "
,Cameron,Wake,MIA,"$8,000,000 "
,Rob,Gronkowski,NWE,"$8,000,000 "
,Geno,Atkins,CIN,"$8,000,000 "
91,Kenny,Stills,MIA,"$7,975,000 "
92,Andre,Branch,MIA,"$7,900,000 "
,Jonotthan,Harrison,NYJ,"$7,900,000 "
94,Kiko,Alonso,MIA,"$7,875,000 "
95,Damon,Harrison,2TM,"$7,750,000 "
96,Harrison,Smith,MIN,"$7,650,000 "
,Ronald,Leary,DEN,"$7,650,000 "
98,Keenan,Allen,LAC,"$7,500,000 "
,Devin,McCourty,NWE,"$7,500,000 "
100,Derek,Carr,OAK,"$7,400,000 "
,Chris,Harris,DEN,"$7,400,000 "
102,Brian,Orakpo,TEN,"$7,250,000 "
103,K.J.,Wright,SEA,"$7,200,000 "
104,Golden,Tate,2TM,"$7,000,000 "
,Marvin,Jones,DET,"$7,000,000 "
,Brandon,Graham,PHI,"$7,000,000 "
,Jabaal,Sheard,IND,"$7,000,000 "
,Maurkice,Pouncey,PIT,"$7,000,000 "
,Brian,Winters,NYJ,"$7,000,000 "
,Marshal,Yanda,BAL,"$7,000,000 "
,Sean,Lee,DAL,"$7,000,000 "
,Khalil,Mack,CHI,"$7,000,000 "
113,Jimmy,Smith,BAL,"$6,882,353 "
114,Travis,Kelce,KAN,"$6,800,000 "
115,Jason,Peters,PHI,"$6,750,000 "
116,Pierre,Garcon,SFO,"$6,625,000 "
117,Mike,Daniels,GNB,"$6,600,000 "
118,Jordan,Jenkins,NYJ,"$6,500,000 "
,Eric,Weddle,BAL,"$6,500,000 "
,Kareem,Jackson,HOU,"$6,500,000 "
,Derrick,Morgan,TEN,"$6,500,000 "
,William,Gholston,TAM,"$6,500,000 "
,Jared,Veldheer,DEN,"$6,500,000 "
124,Mark,Barron,LAR,"$6,499,999 "
125,Janoris,Jenkins,NYG,"$6,400,000 "
126,Jerry,Hughes,BUF,"$6,350,000 "
127,Duane,Brown,SEA,"$6,250,000 "
,Mario,Addison,CAR,"$6,250,000 "
129,Jimmy,Garoppolo,SFO,"$6,200,000 "
130,Mohamed,Sanu,ATL,"$6,125,000 "
131,LeSean,McCoy,BUF,"$6,075,000 "
132,Kyle,Rudolph,MIN,"$6,025,000 "
133,Matt,Ryan,ATL,"$6,000,000 "
,Dion,Sims,CHI,"$6,000,000 "
,Jason,Kelce,PHI,"$6,000,000 "
,Rodney,McLeod,PHI,"$6,000,000 "
,Tyrone,Crawford,DAL,"$6,000,000 "
,Trumaine,Johnson,NYJ,"$6,000,000 "
,Anthony,Castonzo,IND,"$6,000,000 "
140,Ha,Ha,2TM,"$5,957,000 "
141,Nate,Solder,NYG,"$5,900,000 "
142,Bryan,Bulaga,GNB,"$5,850,000 "
143,Jourdan,Lewis,DAL,"$5,800,000 "
,Danny,Trevathan,CHI,"$5,800,000 "
,Sheldon,Richardson,MIN,"$5,800,000 "
146,Tashaun,Gipson,JAX,"$5,750,000 "
,Dont'a,Hightower,NWE,"$5,750,000 "
,Travis,Benjamin,LAC,"$5,750,000 "
149,Mitchell,Schwartz,KAN,"$5,700,000 "
150,Donte,Moncrief,JAX,"$5,600,000 "
151,Joel,Bitonio,CLE,"$5,500,000 "
,Jake,Matthews,ATL,"$5,500,000 "
153,Allen,Bailey,KAN,"$5,400,000 "
154,Rodger,Saffold,LAR,"$5,375,000 "
155,Jermaine,Gresham,ARI,"$5,250,000 "
,Michael,Brockers,LAR,"$5,250,000 "
157,Jared,Cook,OAK,"$5,000,000 "
,Brandon,Marshall,DEN,"$5,000,000 "
,Mike,Pouncey,LAC,"$5,000,000 "
,Blake,Bortles,JAX,"$5,000,000 "
,Christian,Kirksey,CLE,"$5,000,000 "
,Spencer,Long,NYJ,"$5,000,000 "
,Jermaine,Kearse,NYJ,"$5,000,000 "
,Lamar,Miller,HOU,"$5,000,000 "
,Mike,Iupati,ARI,"$5,000,000 "
,J.C.,Tretter,CLE,"$5,000,000 "
,Sam,Bradford,ARI,"$5,000,000 "
,Josh,McCown,NYJ,"$5,000,000 "
,Ryan,Schraeder,ATL,"$5,000,000 "
,Torrey,Smith,CAR,"$5,000,000 "
171,Charles,Leno,CHI,"$4,900,000 "
172,Whitney,Mercilus,HOU,"$4,750,000 "
,Dre,Kirkpatrick,CIN,"$4,750,000 "
174,Trai,Turner,CAR,"$4,703,000 "
175,Michael,Johnson,CIN,"$4,550,000 "
,Clint,Boling,CIN,"$4,550,000 "
177,Barry,Church,JAX,"$4,500,000 "
,Jahleel,Addae,LAC,"$4,500,000 "
,Brandon,Mebane,LAC,"$4,500,000 "
,Darian,Stewart,DEN,"$4,500,000 "
,Ryan,Kalil,CAR,"$4,500,000 "
,Ben,Jones,TEN,"$4,500,000 "
,Charles,Clay,BUF,"$4,500,000 "
,Brandon,Carr,BAL,"$4,500,000 "
,Max,Unger,NOR,"$4,500,000 "
,Akiem,Hicks,CHI,"$4,500,000 "
187,James,Carpenter,NYJ,"$4,450,000 "
188,La'el,Collins,DAL,"$4,350,000 "
189,Gabe,Jackson,OAK,"$4,250,000 "
,Larry,Warford,NOR,"$4,250,000 "
,Bobby,Massie,CHI,"$4,250,000 "
192,A.J.,Klein,NOR,"$4,100,000 "
193,Marcus,Gilbert,PIT,"$4,050,000 "
194,Bilal,Powell,NYJ,"$4,000,000 "
,William,Hayes,MIA,"$4,000,000 "
,Jermey,Parnell,JAX,"$4,000,000 "
,Nick,Foles,PHI,"$4,000,000 "
,DaQuan,Jones,TEN,"$4,000,000 "
,Avery,Williamson,NYJ,"$4,000,000 "
,Mark,Ingram,NOR,"$4,000,000 "
,Brandin,Cooks,LAR,"$4,000,000 "
,Terrell,Suggs,BAL,"$4,000,000 "
,Allen,Robinson,CHI,"$4,000,000 "
,Tom,Brady,NWE,"$4,000,000 "
,Casey,Hayward,LAC,"$4,000,000 "
,Marcus,Cannon,NWE,"$4,000,000 "
207,Demar,Dotson,TAM,"$3,975,000 "
208,Jack,Doyle,IND,"$3,900,000 "
,Mike,Remmers,MIN,"$3,900,000 "
,Everson,Griffen,MIN,"$3,900,000 "
211,Glover,Quin,DET,"$3,850,000 "
,Adam,Thielen,MIN,"$3,850,000 "
